[Router] starting (router)
[R1] starting (unknown)
[SW_192.168.10.0/24] starting (unknown)
[R2] starting (unknown)
[SW_192.168.20.0/24] starting (unknown)
[R3] starting (unknown)
[SW_192.168.30.0/24] starting (unknown)
[SW_192.168.10.0/24] HELLO from R1
[R2] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[R1] HELLO from SW_192.168.10.0/24
[R3] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R3] HELLO from SW_192.168.30.0/24
[R1] HELLO from R2
[R2] HELLO from SW_192.168.20.0/24
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.30.0/24] HELLO from R3
[R2] HELLO from R3
[R1] HELLO from R2
[R3] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[R1] HELLO from SW_192.168.10.0/24
[R2] HELLO from SW_192.168.20.0/24
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.10.0/24] HELLO from R1
[R3] HELLO from SW_192.168.30.0/24
[SW_192.168.30.0/24] HELLO from R3
[R1] HELLO from R2
[R2] HELLO from R3
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.10.0/24] HELLO from R1
[R3] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R2] HELLO from R1
[R1] HELLO from SW_192.168.10.0/24
[R3] HELLO from SW_192.168.30.0/24
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R1] HELLO from R2
[R2] HELLO from R1
[SW_192.168.10.0/24] HELLO from R1
[R3] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[SW_192.168.20.0/24] HELLO from R2
[R2] HELLO from R3
[R1] HELLO from SW_192.168.10.0/24
[R3] HELLO from SW_192.168.30.0/24
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R1] HELLO from R2
[R2] HELLO from SW_192.168.20.0/24
[R3] HELLO from R2
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R1] HELLO from SW_192.168.10.0/24
[R2] HELLO from R1
[SW_192.168.10.0/24] HELLO from R1
[R3] HELLO from SW_192.168.30.0/24
[SW_192.168.30.0/24] HELLO from R3
[SW_192.168.20.0/24] HELLO from R2
[R2] HELLO from SW_192.168.20.0/24
[R1] HELLO from R2
[R3] HELLO from R2
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R1] HELLO from SW_192.168.10.0/24
[R2] HELLO from R3
[R3] HELLO from SW_192.168.30.0/24
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R1] HELLO from R2
[R2] HELLO from R1
[SW_192.168.10.0/24] HELLO from R1
[R3] HELLO from R2
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R2] HELLO from SW_192.168.20.0/24
[R1] HELLO from SW_192.168.10.0/24
[R3] HELLO from SW_192.168.30.0/24
[SW_192.168.10.0/24] HELLO from R1
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
[R1] HELLO from R2
[R2] HELLO from R3
[SW_192.168.10.0/24] HELLO from R1
[R3] HELLO from R2
[SW_192.168.20.0/24] HELLO from R2
[SW_192.168.30.0/24] HELLO from R3
